degradation_weight,position_weight,wavelength_tolerance,multiple_peak_penalty,spearman_vs_defaults,topk48_overlap,topk96_overlap
0.4,0.6,20,1.0,0.9983868372795708,0.9791666666666666,0.96875
0.4,0.6,30,0.0,0.8853126312084911,0.8333333333333334,0.8645833333333334
0.4,0.6,30,0.25,0.9826584532165914,1.0,1.0
0.4,0.6,30,0.5,1.0,1.0,1.0
0.4,0.6,30,0.75,0.9996709901569304,1.0,1.0
0.4,0.6,30,1.0,0.9985299187231744,1.0,1.0
0.4,0.6,40,0.0,0.8843893731629553,0.8125,0.8541666666666666
0.4,0.6,40,0.25,0.9825549256312198,0.9583333333333334,0.9895833333333334
0.4,0.6,40,0.5,0.9997982393097314,0.9583333333333334,0.9895833333333334
0.4,0.6,40,0.75,0.9994416103049943,0.9583333333333334,0.9895833333333334
0.4,0.6,40,1.0,0.9983284457310682,0.9583333333333334,0.9895833333333334
0.4,0.6,50,0.0,0.8834774790774453,0.7916666666666666,0.8333333333333334
0.4,0.6,50,0.25,0.982304569243807,0.9375,0.9791666666666666
0.4,0.6,50,0.5,0.999559027933733,0.9375,0.9791666666666666
0.4,0.6,50,0.75,0.9992023927648194,0.9375,0.9791666666666666
0.4,0.6,50,1.0,0.9980892089503296,0.9375,0.9791666666666666
0.5,0.5,10,0.0,0.884047392898285,0.8333333333333334,0.84375
0.5,0.5,10,0.25,0.9734518791171813,0.9583333333333334,0.9791666666666666
0.5,0.5,10,0.5,0.9983630909840893,0.9583333333333334,0.9791666666666666
0.5,0.5,10,0.75,0.9992258762219206,0.9583333333333334,0.9791666666666666
0.5,0.5,10,1.0,0.9981417797230837,0.9583333333333334,0.9791666666666666
0.5,0.5,20,0.0,0.8839151754858346,0.8333333333333334,0.84375
0.5,0.5,20,0.25,0.9737453493833754,0.9791666666666666,0.9791666666666666
0.5,0.5,20,0.5,0.9985598326572861,0.9791666666666666,0.9791666666666666
0.5,0.5,20,0.75,0.9992266153480875,0.9791666666666666,0.9791666666666666
0.5,0.5,20,1.0,0.9981425182850772,0.9791666666666666,0.9791666666666666
0.5,0.5,30,0.0,0.8837750582483432,0.8125,0.84375
0.5,0.5,30,0.25,0.9739075364015755,0.9375,0.96875
0.5,0.5,30,0.5,0.9986766200817725,0.9375,0.96875
0.5,0.5,30,0.75,0.9991017143845065,0.9375,0.96875
0.5,0.5,30,1.0,0.9980176143521478,0.9375,0.96875
0.5,0.5,40,0.0,0.8828065075537416,0.7916666666666666,0.8333333333333334
0.5,0.5,40,0.25,0.9737236739268141,0.9166666666666666,0.96875
0.5,0.5,40,0.5,0.998598190926049,0.9166666666666666,0.96875
0.5,0.5,40,0.75,0.9988104153138143,0.9166666666666666,0.96875
0.5,0.5,40,1.0,0.9977262850521016,0.9166666666666666,0.96875
0.5,0.5,50,0.0,0.882011482391794,0.7916666666666666,0.8229166666666666
0.5,0.5,50,0.25,0.9736878033884387,0.875,0.96875
0.5,0.5,50,0.5,0.9983717779520588,0.875,0.96875
0.5,0.5,50,0.75,0.9984777276320401,0.875,0.96875
0.5,0.5,50,1.0,0.9973935786316097,0.875,0.96875
0.6,0.4,10,0.0,0.8822878559698372,0.7708333333333334,0.8333333333333334
0.6,0.4,10,0.25,0.9643127100779209,0.9166666666666666,0.9479166666666666
0.6,0.4,10,0.5,0.9922117335284348,0.9166666666666666,0.9479166666666666
0.6,0.4,10,0.75,0.9985082580241054,0.9166666666666666,0.9479166666666666
0.6,0.4,10,1.0,0.9974542905335736,0.9166666666666666,0.9479166666666666
0.6,0.4,20,0.0,0.8826201731621974,0.7708333333333334,0.8333333333333334
0.6,0.4,20,0.25,0.9645471227010005,0.8958333333333334,0.9479166666666666
0.6,0.4,20,0.5,0.9923014317952,0.8958333333333334,0.9479166666666666
0.6,0.4,20,0.75,0.998430989994719,0.8958333333333334,0.9479166666666666
0.6,0.4,20,1.0,0.9973770219556932,0.8958333333333334,0.9479166666666666
0.6,0.4,30,0.0,0.8822703534575017,0.7708333333333334,0.8229166666666666
0.6,0.4,30,0.25,0.9645923835919515,0.875,0.9479166666666666
0.6,0.4,30,0.5,0.9923112711398822,0.875,0.9479166666666666
0.6,0.4,30,0.75,0.9982438565519275,0.875,0.9479166666666666
0.6,0.4,30,1.0,0.9971898856260768,0.875,0.9479166666666666
0.6,0.4,40,0.0,0.8816249734823247,0.7708333333333334,0.8125
0.6,0.4,40,0.25,0.9642678010377672,0.8541666666666666,0.9375
0.6,0.4,40,0.5,0.9920643750435589,0.8541666666666666,0.9375
0.6,0.4,40,0.75,0.997910461198634,0.8541666666666666,0.9375
0.6,0.4,40,1.0,0.9968564608835581,0.8541666666666666,0.9375
0.6,0.4,50,0.0,0.8807834636434546,0.75,0.8020833333333334
0.6,0.4,50,0.25,0.963797997893252,0.8333333333333334,0.9375
0.6,0.4,50,0.5,0.9917631255762149,0.8333333333333334,0.9375
0.6,0.4,50,0.75,0.9974802448124424,0.8333333333333334,0.9375
0.6,0.4,50,1.0,0.9964262262794314,0.8333333333333334,0.9375
